 time            vo1             vo2             q               p1              p2             
 0.00000000e+00  0.00000000e+00  0.00000000e+00  6.50970664e-08  0.00000000e+00  1.20000000e+00 
 1.00000000e-12  8.33181584e-14  3.45419214e-32 -1.66324335e-05  0.00000000e+00  1.18800000e+00 
 2.00000000e-12  1.41829656e-13  1.21101122e-31 -2.51004656e-05  0.00000000e+00  1.17600000e+00 
 4.00000000e-12  1.09566641e-13  4.22762971e-31 -2.62995501e-05  0.00000000e+00  1.15200000e+00 
 6.98385812e-12 -1.11607271e-13  1.14389828e-30 -1.07597199e-05  0.00000000e+00  1.11619370e+00 
 1.29515744e-11 -1.95396951e-13  2.75860638e-30  1.21207524e-05  0.00000000e+00  1.04458111e+00 
 2.48870069e-11  6.85368085e-14  4.71864591e-30  1.28314278e-05  0.00000000e+00  9.01355918e-01 
 3.67299098e-11  7.76189654e-14  5.25776762e-30  2.52999594e-06  0.00000000e+00  7.59241082e-01 
 5.08491441e-11 -8.48391587e-12 -9.73735371e-25  1.11874429e-05  0.00000000e+00  5.89810271e-01 
 5.93208845e-11 -1.56553196e-11 -3.23720104e-24  3.39410095e-05  0.00000000e+00  4.88149386e-01 
 6.73280257e-11 -2.29187019e-11 -7.98430876e-24  6.00884049e-05  0.00000000e+00  3.92063691e-01 
 7.81419150e-11 -3.29303654e-11 -2.03884254e-23  7.17110900e-05  0.00000000e+00  2.62297020e-01 
 8.88705240e-11 -4.29400339e-11 -3.99806223e-23  6.21617852e-05  0.00000000e+00  1.33553712e-01 
 1.00000000e-10 -5.33500515e-11 -6.48413325e-23  4.21306182e-06  0.00000000e+00  0.00000000e+00 
 1.01273229e-10 -5.45425084e-11 -6.79558360e-23  3.64682360e-06  0.00000000e+00  0.00000000e+00 
 1.03819687e-10 -5.69274216e-11 -7.40448846e-23 -6.00452161e-05  0.00000000e+00  0.00000000e+00 
 1.08712991e-10 -6.15102983e-11 -8.30187537e-23 -2.66078933e-04  0.00000000e+00  0.00000000e+00 
 1.13607993e-10 -6.60947659e-11 -8.51922046e-23 -4.18930681e-04  0.00000000e+00  0.00000000e+00 
